host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,about_length,days_hosting,num_verifications,num_amenities
within an hour,1,0.99,t,2,t,t,Entire home/apt,2,1 bath,1,1,109,1,1125,4,14,29,296,587,91,5,4.92,4.95,4.96,4.96,4.95,4.95,4.87,f,11.23,53,2252,5,32
within an hour,1,0.95,t,3,t,t,Entire home/apt,4,1.5 baths,2,2,50,60,365,0,9,9,71,14,1,0,5,5,4.86,5,5,4.92,5,f,0.19,42,2380,8,30
within an hour,1,1,t,21,t,t,Entire home/apt,8,2.5 baths,4,7,255,2,14,1,2,2,2,51,11,0,4.84,4.82,4.75,4.82,4.92,4.88,4.71,t,1.02,147,3773,7,48
within an hour,0.9,0.98,t,1,t,f,Private room,2,1 bath,1,1,79,2,5,0,0,0,0,153,24,2,4.82,4.91,4.85,4.99,4.98,4.74,4.87,t,153,95,2246,3,13
within an hour,1,1,f,2,t,t,Private room,2,1 shared bath,1,1,81,2,30,27,57,87,362,137,9,1,4.72,4.85,4.64,4.9,4.92,4.89,4.86,t,1.86,67,2303,4,43
within a few hours,1,0.88,t,4,t,t,Private room,1,1 shared bath,1,0,55,30,1125,6,6,30,305,16,6,0,4.88,4.94,4.69,4.88,4.69,5,4.88,f,0.52,151,3796,8,19
within an hour,1,0.94,t,7,t,f,Entire home/apt,6,1 bath,2,2,138,30,120,0,22,52,142,33,3,0,4.67,4.76,4.55,4.97,5,4.81,4.45,t,0.8,34,2365,6,37
within an hour,1,0.92,t,1,t,t,Entire home/apt,3,1 bath,1,1,101,2,1125,3,10,25,138,325,57,3,4.98,4.98,4.94,4.98,5,4.95,4.95,f,5.27,57,2308,6,33
within an hour,1,0.98,t,1,t,t,Entire home/apt,6,2.5 baths,3,3,289,1,15,3,8,24,261,349,76,2,4.97,4.97,4.97,4.97,4.98,4.89,4.93,t,5,53,2234,6,38
within an hour,1,0.72,t,1,t,t,Entire home/apt,8,2 baths,4,4,300,30,1125,3,3,3,3,36,13,1,4.8,4.83,4.69,4.97,4.97,4.89,4.69,f,0.49,12,3547,6,16
within an hour,1,0.9,t,1,t,t,Entire home/apt,4,1 bath,1,1,93,1,28,8,35,65,155,466,82,4,4.87,4.93,4.96,4.96,4.96,4.93,4.79,f,10.71,91,2545,8,32
within an hour,0.9,1,t,1,t,t,Entire home/apt,2,1 bath,1,2,167,2,14,2,14,35,295,132,63,5,4.93,4.94,4.94,4.99,5,4.91,4.91,t,50.77,24,2648,9,46
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,156,2,1125,9,39,69,85,214,3,3,4.98,4.99,4.99,4.99,5,4.95,4.94,f,2.92,87,2211,4,46
